utterance_id,utterance,intent_label,bahasa,register,jenjang_user,kelas,minat_keywords,mapel_favorit,hobi_keywords,gaya_belajar,tujuan_karier_keywords,target_program_id,source_type,confidence_label,catatan
UTT001,"Saya suka matematika dan ingin bekerja di bidang data, program studi apa yang cocok?",rekomendasi_prodi,id_formal,formal,SMA,12,matematika|data|analisis,Matematika|Informatika,membuat grafik|menganalisis data,logis|analitis,data analyst,PRG003,seed_manual,0.95,Contoh formal
UTT002,"Aku seneng ngoding sama statistik, cocoknya kuliah apa ya?",rekomendasi_prodi,id_nonformal,nonformal,SMK,12,coding|statistik,Matematika|Produktif RPL,ngoding|eksperimen aplikasi,praktik|logis,programmer|data scientist,PRG001,seed_manual,0.9,Contoh non-formal
UTT003,"Aku pengin dadi analis data, jurusan sing pas apa?",rekomendasi_prodi,jawa_umum,nonformal,SMA,12,data|analisis,Matematika,olah data,analitis,data analyst,PRG003,seed_manual,0.85,Contoh Jawa umum
UTT004,"Abdi resep komputer jeung angka, prodi naon nu cocog?",rekomendasi_prodi,sunda_umum,nonformal,SMA,12,komputer|angka,Matematika|Informatika,komputer,logis,software engineer|data analyst,PRG001,seed_manual,0.85,Contoh Sunda umum
UTT005,"Kalau ingin masuk Teknik Informatika, saya harus belajar apa dulu?",roadmap_belajar,id_formal,formal,SMA,12,informatika|pemrograman,Informatika,ngoding,praktik,software engineer,PRG001,seed_manual,0.95,Pertanyaan roadmap
UTT006,Lulusan Sistem Informasi biasanya bisa bekerja sebagai apa?,prospek_karier,id_formal,formal,SMA,11,bisnis|teknologi,Ekonomi|Informatika,organisasi|membuat rencana,komunikatif|analitis,business analyst,PRG002,seed_manual,0.95,Pertanyaan karier
UTT007,Skill awal untuk jadi data analyst itu apa saja?,skill_awal,id_nonformal,nonformal,SMK,12,data|analisis,Matematika,excel|dashboard,praktik,data analyst,PRG003,seed_manual,0.95,Pertanyaan skill
UTT008,Apa perbedaan Teknik Informatika dan Sistem Informasi?,info_program_studi,id_formal,formal,SMA,12,komputer|bisnis,Informatika|Ekonomi,membandingkan jurusan,membaca|analitis,,,seed_manual,0.9,Pertanyaan informasi
UTT009,"Halo, saya mau konsultasi jurusan kuliah.",sapaan,id_formal,formal,SMA,12,,,,,,,seed_manual,0.99,Sapaan awal
UTT010,Saya bingung banget dan belum tahu minat saya apa.,klarifikasi_minat,id_nonformal,nonformal,SMA,11,,,,reflektif,,,seed_manual,0.9,Perlu tanya balik
UTT011,Bisa bantu buat roadmap belajar selama 6 bulan untuk Sains Data?,roadmap_belajar,id_formal,formal,SMA,12,data|statistik|machine learning,Matematika,analisis data,terstruktur,data scientist,PRG003,seed_manual,0.95,Roadmap Sains Data
UTT012,asdf jurusan awan biru kerja apa,fallback,id_nonformal,nonformal,SMA,12,,,,,,,seed_manual,0.7,Contoh fallback sederhana
