utterance_id,utterance,utterance_clean,utterance_normalized,utterance_tokens,utterance_preprocessed,intent_label,bahasa,register
UTT001,"Saya suka matematika dan ingin bekerja di bidang data, program studi apa yang cocok?",saya suka matematika dan ingin bekerja di bidang data program studi apa yang cocok,saya suka matematika dan ingin bekerja di bidang data program studi apa yang cocok,"[""saya"", ""suka"", ""matematika"", ""dan"", ""ingin"", ""bekerja"", ""di"", ""bidang"", ""data"", ""program"", ""studi"", ""apa"", ""yang"", ""cocok""]",suka matematika kerja bidang data program studi cocok,rekomendasi_prodi,id_formal,formal
UTT002,"Aku seneng ngoding sama statistik, cocoknya kuliah apa ya?",aku seneng ngoding sama statistik cocoknya kuliah apa ya,saya suka pemrograman sama statistik cocoknya kuliah apa ya,"[""saya"", ""suka"", ""pemrograman"", ""sama"", ""statistik"", ""cocoknya"", ""kuliah"", ""apa"", ""ya""]",suka pemrograman statistik kuliah,rekomendasi_prodi,id_nonformal,nonformal
UTT003,"Aku pengin dadi analis data, jurusan sing pas apa?",aku pengin dadi analis data jurusan sing pas apa,saya ingin menjadi analis data program studi yang pas apa,"[""saya"", ""ingin"", ""menjadi"", ""analis"", ""data"", ""program"", ""studi"", ""yang"", ""pas"", ""apa""]",jadi analis data program studi,rekomendasi_prodi,jawa_umum,nonformal
UTT004,"Abdi resep komputer jeung angka, prodi naon nu cocog?",abdi resep komputer jeung angka prodi naon nu cocog,abdi suka komputer jeung angka prodi apa nu cocog,"[""abdi"", ""suka"", ""komputer"", ""jeung"", ""angka"", ""prodi"", ""apa"", ""nu"", ""cocog""]",abdi suka komputer angka prodi cocog,rekomendasi_prodi,sunda_umum,nonformal
UTT005,"Kalau ingin masuk Teknik Informatika, saya harus belajar apa dulu?",kalau ingin masuk teknik informatika saya harus belajar apa dulu,kalau ingin masuk teknik informatika saya harus belajar apa dulu,"[""kalau"", ""ingin"", ""masuk"", ""teknik"", ""informatika"", ""saya"", ""harus"", ""belajar"", ""apa"", ""dulu""]",masuk teknik informatika ajar,roadmap_belajar,id_formal,formal
UTT006,Lulusan Sistem Informasi biasanya bisa bekerja sebagai apa?,lulusan sistem informasi biasanya bisa bekerja sebagai apa,lulusan sistem informasi biasanya bisa bekerja sebagai apa,"[""lulusan"", ""sistem"", ""informasi"", ""biasanya"", ""bisa"", ""bekerja"", ""sebagai"", ""apa""]",lulus sistem informasi biasa kerja,prospek_karier,id_formal,formal
UTT007,Skill awal untuk jadi data analyst itu apa saja?,skill awal untuk jadi data analyst itu apa saja,skill awal untuk jadi data analyst itu apa saja,"[""skill"", ""awal"", ""untuk"", ""jadi"", ""data"", ""analyst"", ""itu"", ""apa"", ""saja""]",skill awal data analyst,skill_awal,id_nonformal,nonformal
UTT008,Apa perbedaan Teknik Informatika dan Sistem Informasi?,apa perbedaan teknik informatika dan sistem informasi,apa perbedaan teknik informatika dan sistem informasi,"[""apa"", ""perbedaan"", ""teknik"", ""informatika"", ""dan"", ""sistem"", ""informasi""]",beda teknik informatika sistem informasi,info_program_studi,id_formal,formal
UTT009,"Halo, saya mau konsultasi jurusan kuliah.",halo saya mau konsultasi jurusan kuliah,halo saya mau konsultasi program studi kuliah,"[""halo"", ""saya"", ""mau"", ""konsultasi"", ""program"", ""studi"", ""kuliah""]",halo konsultasi program studi kuliah,sapaan,id_formal,formal
UTT010,Saya bingung banget dan belum tahu minat saya apa.,saya bingung banget dan belum tahu minat saya apa,saya bingung banget dan belum tahu minat saya apa,"[""saya"", ""bingung"", ""banget"", ""dan"", ""belum"", ""tahu"", ""minat"", ""saya"", ""apa""]",bingung tahu minat,klarifikasi_minat,id_nonformal,nonformal
UTT011,Bisa bantu buat roadmap belajar selama 6 bulan untuk Sains Data?,bisa bantu buat roadmap belajar selama 6 bulan untuk sains data,bisa bantu buat roadmap belajar selama 6 bulan untuk sains data,"[""bisa"", ""bantu"", ""buat"", ""roadmap"", ""belajar"", ""selama"", ""6"", ""bulan"", ""untuk"", ""sains"", ""data""]",bantu roadmap ajar lama bulan sains data,roadmap_belajar,id_formal,formal
UTT012,asdf jurusan awan biru kerja apa,asdf jurusan awan biru kerja apa,asdf program studi awan biru kerja apa,"[""asdf"", ""program"", ""studi"", ""awan"", ""biru"", ""kerja"", ""apa""]",asdf program studi awan biru kerja,fallback,id_nonformal,nonformal
