rank,program_id,nama_program_studi,jenjang,rumpun_ilmu,bidang_keilmuan,text_similarity,structured_score,final_score,final_score_percent,matched_keywords,prospek_karier,skill_awal,alasan_rekomendasi,test_case
1,PRG003,Sains Data,S1,Komputer,Data Science dan Analitik,0.3771,0.3214,0.3576,35.76,"analyst, data, grafik, matematika, statistik, suka","Data Analyst, Data Scientist","Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar","Cocok karena profil user memiliki kesesuaian pada kata kunci: analyst, data, grafik, matematika, statistik, suka",Test Case 1 - Data Analyst
2,PRG004,Statistika,S1,Matematika dan Sains,Statistika Terapan,0.3359,0.2548,0.3075,30.75,"analyst, data, matematika, statistik","Data Analyst, Data Scientist","Analisis Data Dasar, Statistika Dasar","Cocok karena profil user memiliki kesesuaian pada kata kunci: analyst, data, matematika, statistik",Test Case 1 - Data Analyst
3,PRG002,Sistem Informasi,S1,Komputer,Sistem Bisnis dan Teknologi Informasi,0.2851,0.1714,0.2453,24.53,"analyst, data, matematika","Business Analyst, Data Analyst","Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan","Cocok karena profil user memiliki kesesuaian pada kata kunci: analyst, data, matematika",Test Case 1 - Data Analyst
1,PRG001,Teknik Informatika,S1,Komputer,Software Engineering dan Komputasi,0.5661,0.5429,0.558,55.8,"aplikasi, engineer, pemrograman, software",Software Engineer,"Dasar Pemrograman Python, Dasar Basis Data dan SQL, Algoritma dan Struktur Data Dasar","Cocok karena profil user memiliki kesesuaian pada kata kunci: aplikasi, engineer, pemrograman, software",Test Case 2 - Software Engineer
2,PRG003,Sains Data,S1,Komputer,Data Science dan Analitik,0.0219,0.05,0.0317,3.17,pemrograman,"Data Analyst, Data Scientist","Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar",Cocok karena profil user memiliki kesesuaian pada kata kunci: pemrograman,Test Case 2 - Software Engineer
3,PRG002,Sistem Informasi,S1,Komputer,Sistem Bisnis dan Teknologi Informasi,0.0256,0.0357,0.0291,2.91,jadi,"Business Analyst, Data Analyst","Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan",Cocok karena profil user memiliki kesesuaian pada kata kunci: jadi,Test Case 2 - Software Engineer
1,PRG004,Statistika,S1,Matematika dan Sains,Statistika Terapan,0.3459,0.5104,0.4035,40.35,"analis, analitis, analyst, angka, data, matematika, olah, statistik","Data Analyst, Data Scientist","Analisis Data Dasar, Statistika Dasar","Cocok karena profil user memiliki kesesuaian pada kata kunci: analis, analitis, analyst, angka, data, matematika, olah, statistik",Test Case 3 - Bahasa Nonformal/Daerah
2,PRG003,Sains Data,S1,Komputer,Data Science dan Analitik,0.3484,0.3438,0.3468,34.68,"analis, analitis, analyst, angka, data, grafik, matematika, statistik, suka","Data Analyst, Data Scientist","Dasar Pemrograman Python, Dasar Basis Data dan SQL, Analisis Data Dasar, Statistika Dasar","Cocok karena profil user memiliki kesesuaian pada kata kunci: analis, analitis, analyst, angka, data, grafik, matematika, statistik",Test Case 3 - Bahasa Nonformal/Daerah
3,PRG002,Sistem Informasi,S1,Komputer,Sistem Bisnis dan Teknologi Informasi,0.2141,0.0938,0.172,17.2,"analis, analitis, analyst, data, matematika","Business Analyst, Data Analyst","Dasar Basis Data dan SQL, Analisis Data Dasar, Komunikasi dan Analisis Kebutuhan","Cocok karena profil user memiliki kesesuaian pada kata kunci: analis, analitis, analyst, data, matematika",Test Case 3 - Bahasa Nonformal/Daerah
